Ant id,#_tracked_frames_A,#_tracked_frames_L,proportion_tracked_A,proportion_tracked_L,larva_detect_frame
C1,87542,82783,0.9726888888888889,0.9198111111111111,11784
C2,90000,81138,1.0,0.9015333333333333,3789
C3,89785,73920,0.9976111111111111,0.8213333333333334,25301
C4,87840,58620,0.976,0.6513333333333333,6518
C5,89783,74206,0.9975888888888889,0.8245111111111111,4599
C6,90000,77988,1.0,0.8665333333333334,2170
C7,85729,83400,0.9525444444444444,0.9266666666666666,21793
C8,89998,84138,0.9999777777777777,0.9348666666666666,2941
C9,89973,64875,0.9997,0.7208333333333333,10813
C10,89954,77052,0.9994888888888889,0.8561333333333333,5096
C11,89963,75147,0.9995888888888889,0.8349666666666666,17437
C12,87959,61912,0.9773222222222222,0.6879111111111111,1683
C13,89992,65988,0.9999111111111111,0.7332,1495
C14,89439,82111,0.9937666666666667,0.9123444444444444,1311
C15,88496,70154,0.9832888888888889,0.7794888888888889,18168
C16,89998,79628,0.9999777777777777,0.8847555555555555,15429
C17,89988,77617,0.9998666666666667,0.8624111111111111,15667
C18,89996,88200,0.9999555555555556,0.98,7700
C19,90000,39636,1.0,0.4404,21011
C20,89999,48421,0.9999888888888889,0.5380111111111111,6518
C21,89964,79511,0.9996,0.8834555555555555,17200
C22,89717,84129,0.9968555555555556,0.9347666666666666,1631
C23,89733,82705,0.9970333333333333,0.9189444444444445,2791
C24,89920,85200,0.9991111111111111,0.9466666666666667,9155
