ant,from,to,m,tracklet,assigned,single,source
Ant,81001,81036,10,trj_id3_ti10_1_tf10_36,1,1,1
Ant,81037,81103,10,trj_id3_ti10_37_tf10_103,1,0,1
Ant,81104,81115,10,trj_id3_ti10_104_tf10_115,1,1,1
Ant,81116,81154,10,trj_id3_ti10_116_tf10_154,1,0,1
Ant,81155,81363,10,trj_id3_ti10_155_tf10_363,1,1,1
Ant,81364,81404,10,trj_id3_ti10_364_tf10_404,1,0,1
Ant,81405,81506,10,trj_id3_ti10_405_tf10_506,1,0,1
Ant,81507,81570,10,trj_id3_ti10_507_tf10_570,1,1,1
Ant,81571,81678,10,trj_id3_ti10_571_tf10_678,1,0,1
Ant,81679,81698,10,trj_id3_ti10_679_tf10_698,1,1,1
Ant,81699,81717,10,trj_id3_ti10_699_tf10_717,1,0,1
Ant,81718,81718,10,trj_id3_ti10_718_tf10_718,1,1,1
Ant,81719,81729,10,trj_id3_ti10_719_tf10_729,1,0,1
Ant,81730,81734,10,trj_id3_ti10_730_tf10_734,1,1,1
Ant,81735,81820,10,trj_id3_ti10_735_tf10_820,1,0,1
Ant,81821,81920,10,trj_id3_ti10_821_tf10_920,1,1,1
Ant,81921,81984,10,trj_id3_ti10_921_tf10_984,1,0,1
Ant,81985,81986,10,trj_id35_ti10_985_tf10_986,1,1,1
Ant,81987,82018,10,trj_id3_ti10_987_tf10_1018,1,0,1
Ant,82019,82033,10,trj_id3_ti10_1019_tf10_1033,1,1,1
Ant,82034,82088,10,trj_id3_ti10_1034_tf10_1088,1,0,1
Ant,82089,82095,10,trj_id26_ti10_1089_tf10_1095,1,1,1
Ant,82096,82096,10,trj_id3_ti10_1096_tf10_1096,1,0,1
Ant,82097,82102,10,trj_id26_ti10_1097_tf10_1102,1,1,1
Ant,82103,82166,10,trj_id3_ti10_1103_tf10_1166,1,0,1
Ant,82167,82167,10,trj_id3_ti10_1167_tf10_1167,1,1,1
Ant,82168,82168,10,trj_id3_ti10_1168_tf10_1168,1,0,1
Ant,82169,82173,10,trj_id20_ti10_1169_tf10_1173,1,0,1
Ant,82174,82196,10,trj_id13_ti10_1174_tf10_1196,1,1,1
Ant,82197,82250,10,trj_id13_ti10_1197_tf10_1250,1,0,1
Ant,82251,82278,10,trj_id13_ti10_1251_tf10_1278,1,1,1
Ant,82279,82444,10,trj_id13_ti10_1279_tf10_1444,1,0,1
Ant,82445,82611,10,trj_id13_ti10_1445_tf10_1611,1,1,1
Ant,82612,82800,10,trj_id13_ti10_1612_tf10_1800,1,0,1
Ant,82801,82808,10,trj_id11_ti10_1801_tf10_1808,1,1,1
Ant,82809,82914,10,trj_id11_ti10_1809_tf10_1914,1,0,1
Ant,82915,83182,10,trj_id11_ti10_1915_tf10_2182,1,1,1
