ant_number,larva det (frame),transition pt (frame)
1,18365,42098
2,12260,24103
3,12020,50826
4,15723,54915
5,12633,28970
6,11949,57686
7,10819,55719
8,12439,41210
9,16585,31172
10,13849,64589
11,9724,39683
12,9479,28889
13,7979,42162
14,8775,40639
15,7689,22088
16,13149,24038
17,11841,61323
18,4747,32350
19,14482,44294
20,12184,32471
21,9074,29369
22,5496,33868
23,8490,20950
24,2432,18229
25,10842,16538
26,12150,23257
27,2600,10610
28,2399,15064
29,1724,14752
30,655,8002
31,4209,39124
32,1589,19615
33,2254,24491
34,4281,17131
35,10102,22238
36,2895,26294
37,4774,12384
38,4781,27898
39,3313,12877
40,9424,16266
41,9199,21111
42,17612,35252
43,1782,14918
44,10944,43695
45,2690,27555
46,6025,35038
47,2915,13861
48,1670,26494
49,2447,14652
50,5571,16026
51,4348,37482
52,13785,22770
53,5762,12333
54,11303,18219
55,449,23692
56,2507,16860
57,1743,21390
58,1859,13753
59,2198,24349
60,4371,10613
61,6300,19973
62,9450,19838
63,4265,30809
64,4856,9863
65,9597,22093
66,3398,26146
67,1603,20394
68,3937,10419
69,5562,27145
70,1248,12656
71,1001,12231
72,2629,22520
73,6538,16352
74,2431,10740
75,1856,8677
76,3069,14501
77,746,13881
78,2911,59834
79,2970,14546
80,2313,13754
81,2214,20373
82,3780,12065
83,6314,15731
84,5083,43286
85,2398,9908
86,111,15367
87,1092,7185
88,14180,18034
89,768,17365
90,2374,16271
91,6919,61599
92,6097,14947
93,7356,20453
94,25778,27178
95,1328,14410
96,8197,26010
97,8874,64940
98,1,10940
99,1601,15160
100,803,6645
101,6114,15509
102,10987,18386
103,1,8916
104,11140,37275
105,1663,12359
106,8062,30737
107,4543,18546
108,4579,14155
109,12874,25973
110,8870,11003
111,2296,25220
112,17990,31139
113,1497,15741
114,2897,9803
115,1,56183
116,1354,10949
117,8534,28516
118,1457,17880
119,1,16858
120,844,35768
121,64,15363
122,6210,27418
123,1506,12513
124,5412,35062
125,980,19969
126,1077,38723
127,601,13713
128,2962,22598
129,17210,37451
130,2675,24045
131,2265,13987
132,1128,79543
133,5445,23593
134,3936,73351
135,11036,33127
136,28524,32714
137,2925,24872
138,2802,17563
139,2288,19273
140,2053,17536
141,2178,14285
142,2845,21383
143,26685,62615
