ant_number,larva det (frame),transition pt (frame)
1,12258,82094
2,7347,27957
3,28208,75146
4,16149,58069
5,13884,45876
6,16139,46979
7,2825,22267
8,13188,65279
9,4388,60725
10,2422,47601
11,13437,36618
12,23237,48239
13,13399,71663
14,18387,82028
15,13051,68144
16,3827,20187
17,4723,20590
18,6203,60737
19,16044,43316
20,6940,25035
21,22608,29065
22,19371,58052
23,12544,44266
24,7573,19527
25,15331,35045
26,4630,44709
27,22658,65595
28,22099,85366
29,17440,44202
30,22923,55423
31,3730,73843
32,11570,28156
33,13008,51316
34,8050,30802
35,19864,54127
36,11590,36840
37,8029,68758
38,17169,67670
39,13980,71096
40,13308,34864
41,27440,70440
42,16554,56373
43,18786,76397
44,20657,35456
45,16361,37119
46,13050,70050
47,17690,57563
48,21201,37443
49,19255,51148
50,12313,32483
51,19545,33657
52,4187,36368
53,6212,35532
54,9561,46217
55,16728,46856
56,8176,24774
57,5731,21382
58,16303,26021
59,25489,49974
60,17983,40887
61,20677,31983
62,13809,27731
63,3583,14913
64,9865,34449
65,8951,33789
66,3432,26342
67,7525,69166
68,14864,43910
69,14145,35765
70,10801,41506
71,22167,48945
72,17878,36048
73,41174,53857
74,12133,42154
75,2358,14526
76,21544,38855
77,12186,39514
78,4168,35255
79,42035,49479
80,13108,22846
81,10192,40216
82,7506,54878
83,13995,42855
84,19471,42161
85,5521,47397
86,9308,44336
87,3668,28417
88,9959,45221
89,5353,71360
90,551,33975
91,2244,23040
92,19948,36642
93,6286,43548
94,2757,30581
95,4551,33730
96,7463,23011
97,18622,42084
98,27480,42577
99,30900,59796
100,13710,51974
101,14603,39532
102,12528,30608
103,20212,35227
104,4701,29110
105,33083,46459
106,21273,38161
107,30034,40900
108,19808,48348
109,5469,18643
110,9028,26916
111,10213,19935
112,19238,35937
113,10011,20162
114,16190,30347
115,13096,22837
116,31292,51500
117,26170,45523
118,17767,27166
119,33214,58335
120,16739,29382
121,22111,46841
122,25179,59396
123,11710,57260
124,23581,78874
125,24201,46866
126,7529,62528
127,23478,40603
128,22622,49094
129,7964,55166
130,17487,27424
131,6999,56664
132,14401,68087
133,18008,49959
134,25827,62703
135,31853,48906
136,15995,62854
137,5323,86033
138,6293,43922
139,3958,30880
140,28874,60011
141,11355,40868
142,11684,45499
143,12552,36633
